date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:03:28	167789/167789	---MCZ	200	added ('OK')	image/jpeg	etag:%2228f6d-5bbfcfdfe2fc0;5ee8cc09b4bcb-gzip%22	https://templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/2020/12/jakob-owens-O_bhy3TnSYU-unsplash-2-1024x1024.jpg	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/2020/12/jakob-owens-O_bhy3TnSYU-unsplash-2-1024x1024.jpg	(from https://templatekit.jegtheme.com/pirus/home-2/)
22:03:28	81336/81336	---MCZ	200	added ('OK')	image/jpeg	etag:%2213db8-5bbfcfdfe2fc0;5ee8cc09b4bcb-gzip%22	https://templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/2020/11/manuel-cosentino-M3fhZSBFoFQ-unsplash-1024x1024.jpg	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/2020/11/manuel-cosentino-M3fhZSBFoFQ-unsplash-1024x1024.jpg	(from https://templatekit.jegtheme.com/pirus/home-2/)
22:03:29	107142/107142	---MCZ	200	added ('OK')	image/jpeg	etag:%221a286-5bbfcfdfe2fc0;5ee8cc09b4bcb-gzip%22	https://templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/2020/12/matt-rogers-iGxgUBp7i38-unsplash-2-1024x1024.jpg	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/2020/12/matt-rogers-iGxgUBp7i38-unsplash-2-1024x1024.jpg	(from https://templatekit.jegtheme.com/pirus/home-2/)
22:03:29	265360/265360	---MCZ	200	added ('OK')	image/jpeg	etag:%2240c90-5bbfcfdfe2fc0;5ee8cc09b4bcb-gzip%22	https://templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/2020/11/omid-armin-UtuGfdUwdRg-unsplash-1024x1024.jpg	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/2020/11/omid-armin-UtuGfdUwdRg-unsplash-1024x1024.jpg	(from https://templatekit.jegtheme.com/pirus/home-2/)
22:03:30	88933/88933	---MCZ	200	added ('OK')	image/jpeg	etag:%2215b65-5bbfcfdfe2fc0;5ee8cc09b4bcb-gzip%22	https://templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/2021/02/portrait-of-business-woman_3-769x1024.jpg	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/2021/02/portrait-of-business-woman_3-769x1024.jpg	(from https://templatekit.jegtheme.com/pirus/home-2/)
22:03:30	69383/69383	---MCZ	200	added ('OK')	image/jpeg	etag:%2210f07-5bbfcfdfe2fc0;5ee8cc09b4bcb-gzip%22	https://templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/2021/01/Artboard-4-2-768x1024.jpg	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/2021/01/Artboard-4-2-768x1024.jpg	(from https://templatekit.jegtheme.com/pirus/home-2/)
22:03:30	84052/84052	---MCZ	200	added ('OK')	image/jpeg	etag:%2214854-5bbfcfdfe2fc0;5ee8cc09b4bcb-gzip%22	https://templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/2021/01/Artboard-1-2-768x1024.jpg	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/2021/01/Artboard-1-2-768x1024.jpg	(from https://templatekit.jegtheme.com/pirus/home-2/)
22:03:31	83509/83509	---MCZ	200	added ('OK')	image/jpeg	etag:%2214635-5bbfcfdfe2fc0;5ee8cc09b4bcb-gzip%22	https://templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/2021/01/Artboard-3-2-768x1024.jpg	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/2021/01/Artboard-3-2-768x1024.jpg	(from https://templatekit.jegtheme.com/pirus/home-2/)
22:03:31	122688/122688	---MCZ	200	added ('OK')	image/jpeg	etag:%221df40-5bbfcfdfe2fc0;5ee8cc09b4bcb-gzip%22	https://templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/2021/01/Artboard-2-2-768x1024.jpg	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/2021/01/Artboard-2-2-768x1024.jpg	(from https://templatekit.jegtheme.com/pirus/home-2/)
22:03:32	52911/52911	---M-Z	200	added ('OK')	application/javascript	etag:%22ceaf-5ec7b7a5bdd15;5ee8cc09b4bcb-gzip%22	https://templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/essential-addons-elementor/18a76cf22.min.js?ver=1669669290	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/essential-addons-elementor/18a76cf22.mine183.js	(from https://templatekit.jegtheme.com/pirus/home-2/)
22:03:32	67629/67629	---M-Z	200	added ('OK')	text/css	etag:%221082d-5ec75c9d20ae2;5ee8a1c977f5b-gzip%22	https://templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/elementor/css/post-219.css?ver=1667365524	C:/Users/User/Desktop/test/werobotsdarktheme/templatekit.jegtheme.com/pirus/wp-content/uploads/sites/43/elementor/css/post-2190867.css	(from https://templatekit.jegtheme.com/pirus/services/)
